"
";Fast Track;;Intake;Code - Abbraviation;University Name;CSCA;Major (English-Taught);PIC;Seats;Remaining Seats;;;Location;Best Ranking;Special Title;Deadline;Mini Marks ;Oiginal tuition (RMB/year);Original Dorm (RMB/year);Rent outside the dorm;Scholarship Details;Self Introduction Video;Interview;Guardian Letter;Age limit;English;Docs List;Dorm link;Specail requirments;offer mail;;;;;;;;;;;;;;
Finance;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Financial Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Finance;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Finance;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Physics;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Physics;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Physics;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Applied Physics;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Statistics;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Math;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Mathematics and Applied Mathematics;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Intelligent Medical Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Bio Eng.;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Biomedical Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Bio Eng.;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Bioinformatics;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Bio Eng.;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Biological Sciences (Biological Science);Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Microelectronics Science and Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Big Data Management and Application;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Theoretical and Applied Mechanics;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Aero(nautic/space);No;General;September;SUSTech;Southern University of Science and Technology;Yes;Aerospace Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Artificial Intelligence AI;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Intelligence Science and Technology;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Computer;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Computer Science and Technology;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Artificial Intelligence AI;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Robotics Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Mechanical;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Mechanical Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Environmental Science and Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Hydrology and Water Resources Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Oceanography;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Communication Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Optoelectronic lnformation Science and Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Others;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Information Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Geology;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Geophysics;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Material;No;General;September;SUSTech;Southern University of Science and Technology;Yes;Materials Science and Engineering;Qumin;;;;;Shenzhen, Guangdong;32-SHANGHAI RANKING;Double First-Class;30th, April;Pass CSCA;30000;RMB7200/year (Quad room);Allowed;"Type A: Cover tuition fee, accommodation fee, insurance fee and living allowance: 2500RMB/month
Type B: 30,000RMB/year. 
Type C: 10,000 RMB for one year.";No;"Yes
Also has exam";Yes;20;EFFST, Duolingo, TOEFL;SUSTech;SUSTECH;"TOEFL≥ 75
IELTS≥ 6,0
Duolingo ≥95";;;;;;;;;;;;;;;
Mechanical;No;General;September;HUST;"Huazhong University 
of Science and Technology";Yes;Mechanical Design, Manufacturing and Automation;Vicky;;;;;"Wuhan, 
Hubei";"9-SHANGHAI 
RANKING";"985 Project 
211 
Double First-Class";15th,June;12;30000;"12000(Single room); 
7000(Double room)";Allowed;N/A;Yes;No;No;18-25;Duolingo, TOEFL, IELTS;B2616-HUST-Huazhong University of Science and Technology.docx;HUST;"TOEFL≥ 80
IELTS≥ 5.5";;;;;;;;;;;;;;;
Bio Eng.;No;General;September;HUST;"Huazhong University 
of Science and Technology";Yes;Biomedical Engineering;Vicky;;;;;"Wuhan, 
Hubei";"9-SHANGHAI 
RANKING";"985 Project 
211 
Double First-Class";15th,June;12;30000;"12000(Single room); 
7000(Double room)";Allowed;N/A;Yes;No;No;18-25;Duolingo, TOEFL, IELTS;B2616-HUST-Huazhong University of Science and Technology.docx;HUST;"TOEFL≥ 80
IELTS≥ 5.5";;;;;;;;;;;;;;;
Others;No;General;September;HUST;"Huazhong University 
of Science and Technology";Yes;Telecommunications Engineering;Vicky;;;;;"Wuhan, 
Hubei";"9-SHANGHAI 
RANKING";"985 Project 
211 
Double First-Class";15th,June;12;30000;"12000(Single room); 
7000(Double room)";Allowed;N/A;Yes;No;No;18-25;Duolingo, TOEFL, IELTS;B2616-HUST-Huazhong University of Science and Technology.docx;HUST;"TOEFL≥ 80
IELTS≥ 5.5";;;;;;;;;;;;;;;
Pharmacy;No;General;September;HUST;"Huazhong University 
of Science and Technology";Yes;Pharmacy;Vicky;;;;;"Wuhan, 
Hubei";"9-SHANGHAI 
RANKING";"985 Project 
211 
Double First-Class";15th,June;12;35000;"12000(Single room); 
7000(Double room)";Allowed;N/A;Yes;No;No;18-25;Duolingo, TOEFL, IELTS;B2616-HUST-Huazhong University of Science and Technology.docx;HUST;"TOEFL≥ 80
IELTS≥ 5.5";;;;;;;;;;;;;;;
MBBS;No;General;September;HUST;"Huazhong University 
of Science and Technology";Yes;Clinical Medicine;Vicky;;;;;"Wuhan, 
Hubei";"9-SHANGHAI 
RANKING";"985 Project 
211 
Double First-Class";15th,June;12;40000;"12000(Single room); 
7000(Double room)";Allowed;N/A;Yes;No;No;18-25;Duolingo, TOEFL, IELTS;B2616-HUST-Huazhong University of Science and Technology.docx;HUST;"TOEFL≥ 80
IELTS≥ 5.5";;;;;;;;;;;;;;;
Others;Yes;Hot __;September;ECNU;East China Normal University;Yes;Visual Communication Design;Vicky;;;;;Shanghai;"20-UNIPAGE 
RANKING";"985 Project 
211 
Double First-Class";1st June;;50000;"Putuo campus
On-campus_40-90/day( Double room)
Off-campus_4400/month(Single room)
                      2650/month(Double room)";Allowed;No Scholarship;No;Yes;No;25;TOEFL, IELTS, Duolingo, EFFST;B2607-ECNU-East China Normal University.docx;ECNU;IELTS (6.0 or above) / TOFEL(85 or above) / Cambridge English(B2 or above) ;;;;;;;;;;;;;;;
Others;Yes;Hot __;September;ECNU;East China Normal University;Yes;Environmental Design;Vicky;;;;;Shanghai;"20-UNIPAGE 
RANKING";"985 Project 
211 
Double First-Class";1st June;;50000;"Putuo campus
On-campus_40-90/day( Double room)
Off-campus_4400/month(Single room)
                      2650/month(Double room)";Allowed;No Scholarship;No;Yes;No;25;TOEFL, IELTS, Duolingo, EFFST;B2607-ECNU-East China Normal University.docx;ECNU;IELTS (6.0 or above) / TOFEL(85 or above) / Cambridge English(B2 or above) ;;;;;;;;;;;;;;;
Business;Yes;Hot __;September;ECNU;East China Normal University;Yes;Business Administration(Single Degree);Vicky;;;;;Shanghai;"20-UNIPAGE 
RANKING";"985 Project 
211 
Double First-Class";1st June;;54000;Minhang campus_35/day(Single room);Allowed;No Scholarship;No;Yes;No;25;TOEFL, IELTS, Duolingo, EFFST;B2607-ECNU-East China Normal University.docx;ECNU;IELTS (6.0 or above) / TOFEL(85 or above) / Cambridge English(B2 or above) ;;;;;;;;;;;;;;;
Business;Yes;Hot __;September;ECNU;East China Normal University;Yes;Business Administration(Double Degree);Vicky;;;;;Shanghai;"20-UNIPAGE 
RANKING";"985 Project 
211 
Double First-Class";1st June;;108000;Minhang campus_35/day(Single room);Allowed;No Scholarship;No;Yes;No;25;TOEFL, IELTS, Duolingo, EFFST;B2607-ECNU-East China Normal University.docx;ECNU;IELTS (6.0 or above) / TOFEL(85 or above) / Cambridge English(B2 or above) ;;;;;;;;;;;;;;;
Aero(nautic/space);No;General;March;SAU;Shenyang Aerospace University;Optional;Aircraft Maintenance;Vicky;;;;;Shenyang Liaoning;"183-UNIPAGE 
RANKING";N/A;1st March;;18000;" 10200/year(Single Room)
7200/year(Twin Room)";Not Allowed;No Scholarship;"Yes
(_2 min)";No;No;25;EFFST, Duolingo, TOEFL, IELTS;B2623-SAU-Shenyang Aerospace University .docx;;;;;;;;;;;;;;;;;
Aero(nautic/space);No;General;March;SAU;Shenyang Aerospace University;Optional;Aeronautical Engineering;Vicky;;;;;Shenyang Liaoning;"183-UNIPAGE 
RANKING";N/A;1st March;;18000;" 10200/year(Single Room)
7200/year(Twin Room)";Not Allowed;No Scholarship;"Yes
(_2 min)";No;No;25;EFFST, Duolingo, TOEFL, IELTS;B2623-SAU-Shenyang Aerospace University .docx;;;;;;;;;;;;;;;;;
Mechanical;No;General;March;SAU;Shenyang Aerospace University;Optional;Mechanical Engineering ;Vicky;;;;;Shenyang Liaoning;"183-UNIPAGE 
RANKING";N/A;1st March;;18000;" 10200/year(Single Room)
7200/year(Twin Room)";Not Allowed;No Scholarship;"Yes
(_2 min)";No;No;25;EFFST, Duolingo, TOEFL, IELTS;B2623-SAU-Shenyang Aerospace University .docx;;;;;;;;;;;;;;;;;
Computer;No;General;March;SAU;Shenyang Aerospace University;Optional;Computer Science and Technology;Vicky;;;;;Shenyang Liaoning;"183-UNIPAGE 
RANKING";N/A;1st March;;18000;" 10200/year(Single Room)
7200/year(Twin Room)";Not Allowed;No Scholarship;"Yes
(_2 min)";No;No;25;EFFST, Duolingo, TOEFL, IELTS;B2623-SAU-Shenyang Aerospace University .docx;;;;;;;;;;;;;;;;;
Business;No;General;March;SAU;Shenyang Aerospace University;Optional;International Economics and Trade;Vicky;;;;;Shenyang Liaoning;"183-UNIPAGE 
RANKING";N/A;1st March;;18000;" 10200/year(Single Room)
7200/year(Twin Room)";Not Allowed;No Scholarship;"Yes
(_2 min)";No;No;25;EFFST, Duolingo, TOEFL, IELTS;B2623-SAU-Shenyang Aerospace University .docx;;;;;;;;;;;;;;;;;
Others;No;General;September;BIGC;Beijing Institute of Graphic Communication;No;Printing Engineering;Vicky;;;;;Beijing;302-SHANGHAI RANKING;N/A;30th June;80,00%;16000;"11520/year(Double room)
5760/year(Triple room)";Not Allowed;"1st year: Free tuition and insurance
2-4year: 1_Free tuition and insurance
              2_Half tuition";No;Yes;Yes;25;IELTS, TOEFL, Duolingo, EFFST;B2630-BIGC-Beijing Institute of Graphic Communication.docx;BIGC;;;;;;;;;;;;;;;;
Others;No;General;September;BIGC;Beijing Institute of Graphic Communication;No;Communication;Vicky;;;;;Beijing;302-SHANGHAI RANKING;N/A;30th June;80,00%;16000;"11520/year(Double room)
5760/year(Triple room)";Not Allowed;"1st year: Free tuition and insurance
2-4year: 1_Free tuition and insurance
              2_Half tuition";No;Yes;Yes;25;IELTS, TOEFL, Duolingo, EFFST;B2630-BIGC-Beijing Institute of Graphic Communication.docx;BIGC;;;;;;;;;;;;;;;;
Mechanical;No;General;September;BIGC;Beijing Institute of Graphic Communication;No;Mechanical Engineering;Vicky;;;;;Beijing;302-SHANGHAI RANKING;N/A;30th June;80,00%;16000;"11520/year(Double room)
5760/year(Triple room)";Not Allowed;"1st year: Free tuition and insurance
2-4year: 1_Free tuition and insurance
              2_Half tuition";No;Yes;Yes;25;IELTS, TOEFL, Duolingo, EFFST;B2630-BIGC-Beijing Institute of Graphic Communication.docx;BIGC;;;;;;;;;;;;;;;;
Computer;No;General;September;BIGC;Beijing Institute of Graphic Communication;No;Computer Science and Technology;Vicky;;;;;Beijing;302-SHANGHAI RANKING;N/A;30th June;80,00%;16000;"11520/year(Double room)
5760/year(Triple room)";Not Allowed;"1st year: Free tuition and insurance
2-4year: 1_Free tuition and insurance
              2_Half tuition";No;Yes;Yes;25;IELTS, TOEFL, Duolingo, EFFST;B2630-BIGC-Beijing Institute of Graphic Communication.docx;BIGC;;;;;;;;;;;;;;;;
Others;No;General;September;BIGC;Beijing Institute of Graphic Communication;No;Packaging Engineering;Vicky;;;;;Beijing;302-SHANGHAI RANKING;N/A;30th June;80,00%;16000;"11520/year(Double room)
5760/year(Triple room)";Not Allowed;"1st year: Free tuition and insurance
2-4year: 1_Free tuition and insurance
              2_Half tuition";No;Yes;Yes;25;IELTS, TOEFL, Duolingo, EFFST;B2630-BIGC-Beijing Institute of Graphic Communication.docx;BIGC;;;;;;;;;;;;;;;;
Computer;No;General;September;XDU;Xidian University;Yes;Computer Science and Technology;Lisa;;;;;Xi'an Shaanxi ;32-4ICU RANKING;211, Double First-class;1st March;15,75%;25000;"Single room: 4500RMB or 4800RMB (Small) or 9600RMB/year(Median)
Double room: 4500RMB or 5400RMB/year 
Quad room:3600RMB/year";Allowed;"Type A:Cover one year tuition fee and accommodation fee,with stipend 30000RMB/year
Type B:Cover one year tuition fee and accommodation fee,with stipend 15000RMB/year
Type C:Cover one year tuition fee and accommodation fee
Type D:Cover 50% tuition fee";Yes;Yes;No;18-25;Duolingo, TOEFL, IELTS;XDU;XDU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥110";;;;;;;;;;;;;;;
Others;No;General;September;XDU;Xidian University;Yes;Information and Computational Science;Lisa;;;;;Xi'an Shaanxi ;32-4ICU RANKING;211, Double First-class;1st March;15,75%;25000;"Single room: 4500RMB or 4800RMB (Small) or 9600RMB/year(Median)
Double room: 4500RMB or 5400RMB/year 
Quad room:3600RMB/year";Allowed;"Type A:Cover one year tuition fee and accommodation fee,with stipend 30000RMB/year
Type B:Cover one year tuition fee and accommodation fee,with stipend 15000RMB/year
Type C:Cover one year tuition fee and accommodation fee
Type D:Cover 50% tuition fee";Yes;Yes;No;18-25;Duolingo, TOEFL, IELTS;XDU;XDU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥110";;;;;;;;;;;;;;;
Others;No;General;September;XDU;Xidian University;Yes;Applied Physics;Lisa;;;;;Xi'an Shaanxi ;32-4ICU RANKING;211, Double First-class;1st March;15,75%;25000;"Single room: 4500RMB or 4800RMB (Small) or 9600RMB/year(Median)
Double room: 4500RMB or 5400RMB/year 
Quad room:3600RMB/year";Allowed;"Type A:Cover one year tuition fee and accommodation fee,with stipend 30000RMB/year
Type B:Cover one year tuition fee and accommodation fee,with stipend 15000RMB/year
Type C:Cover one year tuition fee and accommodation fee
Type D:Cover 50% tuition fee";Yes;Yes;No;18-25;Duolingo, TOEFL, IELTS;XDU;XDU;"TOEFL≥ 80
IELTS≥ 6,0
Duolingo ≥110";;;;;;;;;;;;;;;
Business;No;General;September;BTBU;Beijing Technology and Business University;Yes;Accounting;Lisa;;;;;Beijing;146- 4ICU RANKING;N/A;1st May;;24000;"RMB40/Day(double room;  liangxiang Campus)";Allowed;"Type A:Cover tuition fee and accommodation fee,Insurance fee
Type B:Cover tuition fee,Insurance fee";No;Yes;Yes;18-25;TOEFL, IELTS;BTBU;BTBU;"TOEFL≥ 80
IELTS≥ 5,5";;;;;;;;;;;;;;;
Civil Eng;No;General;September;CSU;Central South University;Yes;Civil Engineering (Dual degree);Qumin;open;;;;Changsha, Hunan;27-SHANGHAI RANKING;"985 Project 
211 
Double First-Class";31st, May;Pass CSCA;69000;"Xiangya 8 and 9 building:
single room: 6000/year
apartment: 5000-7000/year

Shenhua Dorm:
apartment:9000/year
single room: 8000/year
double room: 5000/year

Tiedao Dorm 1:
apartment: 16000/year
single room: 8000/year
double room: 5000/year

Tiedao Dorm 2:
double room: 4000/year

Tiedao Dorm 3:
single room: 8000/year
double room: 5000/year
triple room: 4500/year

Tiedao Dorm
single room:8000/year
double room:3500/year";Not Allowed;N/A;Yes;No;No;25;EFFST, Duolingo, TOEFL, IELTS;CSU;CSU;"TOEFL≥ 85
IELTS≥ 6.0";"Mathematics, and
Physics/Chemistry(Choose One)";;;;;;;;;;;;;;
