"Program Name","Level","Duration","Tuition Fee","Entry Requirements","Special Exams","Location","Start Date","Application Deadline","Application Fee","Servıce Fee","Program Language","University Name","CSCA Exam Required"
"Aquaculture","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Food Science and Engineering","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Biological Technology","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Pharmaceutical Engineering","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Science of Law","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Business Administration","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Accounting","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Finance","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"International Economy and Trade","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Advertising","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Chinese Language","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"English Language","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Japanese Language","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Mechanical Design and Manufacture and its Automation","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Architecture","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","N/A","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Ocean Science","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Marketing","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Tourism Management","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Administration Management","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Ideological and Political Education","Bachelor","4 Years","RMB 14,850 per year","The applicant, who is a high school graduate and capable of studying his/her specialized courses in Chinese, is well behaved and in good health, can apply for admission of undergraduate to Hainan University. Acceptance is decided by selection after a screening process. If he/she is not capable of studying his/her specialized courses in Chinese, he/she is first expected to study Chinese for one year, and then continue his/her undergraduate studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Chinese Philosophy","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Foreign Philosophy","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"World Economics","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Political Economy","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","N/A","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Criminal Law","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Law Theory","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"History of Law","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","N/A","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Constitution and Administrative Law","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Environment and Resource Protection Law","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","N/A","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Procedural Law","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","N/A","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"International Law","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Civil and Commercial Law","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Economic Law","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","N/A"
"Theory of Political Science","Master","3 Years","RMB 16,500 per year","The applicant should have already completed undergraduate studies. She/he should be in good health and well behaved. If she/he is not capable of studying her/his specialized courses in Chinese, she/he is first expected to study Chinese for one year, and then continue her/his original studies after passing the Chinese Proficiency Test (HSK Band 4).","HSK Band 4","Hainan University","Sep 1, 2022","May 30, 2022","USD 75","USD 50","Chinese","Hainan University","No"
"Chinese Language and Culture","Non-degree","1 Semester","RMB 12,500 in total (About $ 1,746)","1. Ages: 18-65, non-Chinese citizen; 2. Good health condition; 3. Senior high school diploma or above.","N/A","Chengdu","Mar 2, 2027","Dec 30, 2026","USD 60","USD 100","Chinese","University of Electronic Science and Technology of China","No"
"Network Security Engineering","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","N/A","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Communication Engineering","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","N/A","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Electronic Information Engineering","Bachelor","4 Years","RMB 15,000 per year","1. Non-Chinese citizens over 18 years old and in good health; 2. High school diploma or equivalent certificate; 3. Chinese-taught programs require applicants to have a Chinese proficiency of 180 points or above at HSK Level 5; 4. Residents of the motherland (Mainland), Hong Kong, Macau and Taiwan who immigrate abroad and apply as international student applicants shall apply according to the 'Notice of the Ministry of Education on Regulating the Acceptance of International Students in Our Colleges and Universities' (Teaching Foreign Letter [2020] 〕No. 12) execution.","Attend Online Test: Required - CSCA","Chengdu, China","Sep 1, 2026","Jun 30, 2026","USD 60","USD 100","Chinese","University of Electronic Science and Technology of China","Yes"
"Electronic Information Science and Technology","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","N/A","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Applied Chemistry","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","N/A","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Applied Physics","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","N/A","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Opto-electronic Information Science and Engineering","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","N/A","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Information Safety","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","N/A","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Computer Science and Technology","Bachelor","4 Years","RMB 15,000 per year","1. Non-Chinese citizens over 18 years old and in good health; 2. High school diploma or equivalent certificate; 3. Chinese-taught programs require applicants to have a Chinese proficiency of 180 points or above at HSK Level 5; 4. Residents of the motherland (Mainland), Hong Kong, Macau and Taiwan who immigrate abroad and apply as international student applicants shall apply according to the 'Notice of the Ministry of Education on Regulating the Acceptance of International Students in Our Colleges and Universities' (Teaching Foreign Letter [2020] 〕No. 12) execution.","Attend Online Test: Required - CSCA","Chengdu, China","Sep 1, 2026","Jun 30, 2026","USD 60","USD 100","Chinese","University of Electronic Science and Technology of China","Yes"
"Electrical Engineering and Automation","Bachelor","4 Years","RMB 15,000 per year","1. Non-Chinese citizens over 18 years old and in good health; 2. High school diploma or equivalent certificate; 3. Chinese-taught programs require applicants to have a Chinese proficiency of 180 points or above at HSK Level 5; 4. Residents of the motherland (Mainland), Hong Kong, Macau and Taiwan who immigrate abroad and apply as international student applicants shall apply according to the 'Notice of the Ministry of Education on Regulating the Acceptance of International Students in Our Colleges and Universities' (Teaching Foreign Letter [2020] 〕No. 12) execution.","Attend Online Test: Required - CSCA","Chengdu, China","Sep 1, 2026","Jun 30, 2026","USD 60","USD 100","Chinese","University of Electronic Science and Technology of China","Yes"
"Automation","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","N/A","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Mechanical Design Manufacture and Automation","Bachelor","4 Years","RMB 15,000 per year","1. Non-Chinese citizens over 18 years old and in good health; 2. High school diploma or equivalent certificate; 3. Chinese-taught programs require applicants to have a Chinese proficiency of 180 points or above at HSK Level 5; 4. Residents of the motherland (Mainland), Hong Kong, Macau and Taiwan who immigrate abroad and apply as international student applicants shall apply according to the 'Notice of the Ministry of Education on Regulating the Acceptance of International Students in Our Colleges and Universities' (Teaching Foreign Letter [2020] 〕No. 12) execution.","CSCA Test Required","Chengdu, China","Sep 1, 2026","Jun 30, 2026","USD 60","USD 100","Chinese","University of Electronic Science and Technology of China","Yes"
"Industrial Engineering","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","HSK4","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Biological Technology","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","HSK4","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Biomedical Engineering","Bachelor","4 Years","RMB 15,000 per year","1. Non-Chinese citizens over 18 years old and in good health; 2. High school diploma or equivalent certificate; 3. Chinese-taught programs require applicants to have a Chinese proficiency of 180 points or above at HSK Level 5; 4. Residents of the motherland (Mainland), Hong Kong, Macau and Taiwan who immigrate abroad and apply as international student applicants shall apply according to the 'Notice of the Ministry of Education on Regulating the Acceptance of International Students in Our Colleges and Universities' (Teaching Foreign Letter [2020] 〕No. 12) execution.","Attend Online Test: Required - CSCA","Chengdu, China","Sep 1, 2026","Jun 30, 2026","USD 60","USD 100","Chinese","University of Electronic Science and Technology of China","Yes"
"Mathematics","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","HSK4","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Administrative Management","Bachelor","4 Years","RMB 15,000 per year","Applicants must be at the age between 18-30 years old. Have attained a senior high school diploma. HSK4 > 210 is required.","N/A","N/A","Sep 1, 2021","Jun 30, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Information Management and Information System","Bachelor","4 Years","RMB 15,000 per year","1. Non-Chinese citizens over 18 years old and in good health; 2. High school diploma or equivalent certificate; 3. Chinese-taught programs require applicants to have a Chinese proficiency of 180 points or above at HSK Level 5; 4. Residents of the motherland (Mainland), Hong Kong, Macau and Taiwan who immigrate abroad and apply as international student applicants shall apply according to the 'Notice of the Ministry of Education on Regulating the Acceptance of International Students in Our Colleges and Universities' (Teaching Foreign Letter [2020] 〕No. 12) execution.","Attend Online Test: Required - CSCA","N/A","Sep 1, 2026","Jun 30, 2026","USD 60","USD 100","Chinese","University of Electronic Science and Technology of China","Yes"
"Materials Science and Engineering","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Information and Communication Engineering","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Electronic Science and Technology","Master","2 Years","RMB 25,000 per year","Under 35. With a bachelor degree or equivalent. TOEFL 80 or IELTS 5.5.","N/A","N/A","Sep 1, 2027","Mar 1, 2027","USD 60","USD 100","English","University of Electronic Science and Technology of China","N/A"
"Finance","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Regional Economics","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"International Politics","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Constitutional Jurisprudence and Administrative law","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Basic Theory of Marxism","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Ideological and Theoretical Education","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Applied Psychology","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"English Language and Literature","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Foreign Linguistics and Applied Linguistics","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Communicology","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Computational Mathematics","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Operational Research and Control Theory","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Applied Mathematics","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Condensed Matter Physics","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Plasma Physics","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Optics","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
"Biochemistry and Molecular Biology","Master","2 Years","RMB 25,000 per year","With a bachelor degree or equivalent. Age under 35. HSK6>210.","N/A","N/A","Sep 1, 2021","Apr 7, 2021","USD 80","USD 50","Chinese","University of Electronic Science and Technology of China","N/A"
